ID,name,genus,species,mass,TL,SL,BD,BW,CPW,muscleWhite,muscleRed,CoM,,mucusMass,caudalArea,analArea,dorsalArea,dorsalArea2,pelvicArea,bodyArea,pectArea,aluArea,barbArea,TotCaudalArea,TotAnalArea,TotDorsalArea,TotDorsalArea2,TotPelvicArea,TotPectArea,TotAlulArea,TotBodyArea,AllAluArea,AllBodArea,relMucusM,mucusProt,FStype,latency,s1Duration,s2Duration,distance,stimAngle,direction,turnAngle,turnRate,trajectory,turnRadius,Desc,relDesc,Umax,Amax,F_latency,F_s1Duration,F_s2Duration,F_distance,F_stimAngle,F_turnAngle,F_turnRate,F_trajectory,F_turnRadius,CHNmass,nitrogen,carbon,hydrogen,calories
MJ129,scop4,Zebrasoma,scopas,87.6,15.02,12.1,7.35,2.1,0.74,14.77,0.88,5.9,0.392809587,10.9,10.734,16.409,27.529,NA,2.095,62.029,6.333,71.865,0,21.468,32.818,55.058,0,8.38,25.332,143.73,124.058,286.786,267.114,0.038007434,80.2910748,D,NA,0.02,0.02,24.23,136.61,1,34.64,1662.82,150.79,0.81,6.5,0.43,201.6,85.28,NA,0.04,0.07,23.8,19.21,95.26,2540.32,127.95,0.73,1.407,4.978,23.194,3.747,3298.458
MJ130,scop1,Zebrasoma,scopas,113.92,16.2,12.93,8.23,2.26,0.95,20.89,1.24,6.85,0.422839506,17.8,11.654,17.265,30.106,NA,2.365,74.987,7.357,86.685,0,23.308,34.53,60.212,0,9.46,29.428,173.37,149.974,330.308,306.912,0.053889097,81.6261761,D-,0.05,0.04,0.03,23.68,92.92,1,62.47,1665.73,153.41,1.07,3.89,0.24,140.74,52.91,NA,0.04,0.03,30.63,6.62,114.92,3064.61,117.84,1.11,1.849,7.068,30.376,5.089,4390.192
MJ131,scop2,Zebrasoma,scopas,89.5,14.79,11.75,7.04,2.14,0.87,15.4,0.88,6.09,0.411764706,27.8,9.59,15.696,24.584,NA,2.061,54.672,7.055,68.626,0,19.18,31.392,49.168,0,8.244,28.22,137.252,109.344,273.456,245.548,0.101661693,144.6224934,S,0.03,0.02,0.04,26.62,99.29,1,38.23,1834.85,153.16,1.11,2.63,0.18,65.28,68.91,0.02,0.04,0.02,23.11,26.89,119.22,3179.15,144.3,0.94,2.168,8.101,34.913,5.381,5079.761
MJ132,scop7,Zebrasoma,scopas,52.25,12.43,9.7,6.48,1.65,0.51,9.11,0.54,5.22,0.41995173,NA,7.855,12.444,18.73,NA,1.758,44.638,5.395,NA,0,15.71,24.888,37.46,0,7.032,21.58,NA,89.276,NA,195.946,NA,NA,D,0.02,0.03,0.02,25.6,77.28,1,87.08,2985.74,147.65,1.11,8.08,0.65,222,132.66,0.02,0.04,0.02,21.53,14.34,140.17,3737.79,135.25,0.76,NA,NA,NA,NA,NA
MJ133,scop6,Zebrasoma,scopas,85.45,14.83,11.69,7.1,2,0.6,14.4,0.81,5.91,0.398516521,NA,11.677,17.097,29.549,NA,2.42,60.458,8.422,NA,0,23.354,34.194,59.098,0,9.68,33.688,NA,120.916,NA,280.93,NA,NA,D,0.05,0.03,0.02,21.3,154.41,1,36.06,1442.2,171.76,0.76,6.04,0.41,162.84,75.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MJ134,bili11,Scolopsis,bilineatus,60.19,15.6,12.32,4.45,1.96,0.42,11.14,0.3,5.53,0.354487179,20.7,9.316,3.374,11.7,NA,2.847,46.351,5.857,58.778,0,18.632,6.748,23.4,0,11.388,23.428,117.556,92.702,201.152,176.298,0.102907254,159.323832,D,0.03,0.02,0.02,34.73,111.47,1,43.74,2099.42,123.09,0.59,5.84,0.37,171.54,85.33,0.03,0.03,0.03,39.22,19.07,111.1,3332.94,120.27,1.17,1.967,6.557,27.117,4.651,3894.852
MJ135,scop8,Zebrasoma,scopas,62.43,13.12,10.42,6.57,1.69,0.53,9.95,0.61,5.49,0.418445122,NA,8.499,11.951,20.681,NA,1.657,48.67,6.291,NA,0,16.998,23.902,41.362,0,6.628,25.164,NA,97.34,NA,211.394,NA,NA,D-,0.05,0.03,0.03,30.75,96.85,1,33.28,1331.2,123.77,0.53,3.52,0.27,105.86,41.85,0.05,0.04,0.03,29.52,32.87,90.76,2420.16,122.76,1.06,NA,NA,NA,NA,NA
MJ136,scop9,Zebrasoma,scopas,61.92,13.2,10.44,6.42,1.68,0.6,10.63,0.63,5.45,0.412878788,NA,9.694,13.152,20.033,NA,2.051,47.44,5.867,NA,0,19.388,26.304,40.066,0,8.204,23.468,NA,94.88,NA,212.31,NA,NA,D,NA,0.03,0.02,22.41,104.21,1,52.1,2084.16,149.35,1.17,6.67,0.51,203.63,88.06,NA,0.03,0.02,33.75,8.58,87.21,2990.02,94.14,0.98,NA,NA,NA,NA,NA
MJ137,scop10,Zebrasoma,scopas,95.25,15.15,12.08,7.23,2.1,0.78,15.45,1.09,6.13,0.404620462,NA,12.063,15.356,24.521,NA,1.958,63.319,7.641,NA,0,24.126,30.712,49.042,0,7.832,30.564,NA,126.638,NA,268.914,NA,NA,D-,0.04,0.03,0.03,31.7,138.63,1,49.83,1993.36,174.61,0.88,5.36,0.35,142.48,56.09,0.05,0.03,0.03,29.04,25.6,92.43,2772.96,118.59,1.1,NA,NA,NA,NA,NA
MJ138,stri10,Ctenochaetus,striatus,60.98,14.72,10.48,5.42,1.76,0.47,12.95,0.74,5.43,0.36888587,NA,11.999,11.179,18.308,NA,1.87,45.691,7.569,NA,0,23.998,22.358,36.616,0,7.48,30.276,NA,91.382,NA,212.11,NA,NA,D,NA,0.02,0.02,26.25,77.63,1,40.43,2425.5,106.79,1.04,8.31,0.56,181.67,143.82,NA,0.03,0.02,15.39,24.02,86.07,3442.92,103.67,1.07,NA,NA,NA,NA,NA
MJ139,sexs4,Pomacanthus,sexstriatus,NA,23.5,18.5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,0.05,0.08,27.15,105.54,1,50.74,1014.8,161.16,1.31,2.86,0.12,87.39,29.24,NA,0.07,0.07,21.42,18.45,85.51,1207.19,137.65,2.25,NA,NA,NA,NA,NA
MJ140,sexs5,Pomacanthus,sexstriatus,NA,17.1,13.55,7.72,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D,0.04,0.03,0.03,22.35,106.99,1,46.08,1579.71,140.69,0.98,3.95,0.23,123.92,52.02,0.05,0.05,0.03,34.14,20.24,125.95,2519.02,155.88,2,NA,NA,NA,NA,NA
